,itemname,tag
8800,Steamed Samba Rice,Rice
8802,Chilli Paste (3),Condiments
8808,Fish Noodles Soup,Soup
8811,Chopsuey Rice (Mixed or Seafood),Rice
8812,Vietnamese Fresh Spring Rolls,Short eats
8814,Chicken Kochchi Cutlets (10),Short eats
8817,Vegetable Chopsuey Basmathi Fried Rice,Rice
8827,Non Dairy Fuel,Shakes
8839,Watermelon Mojito,Soft Drinks
8841,Earl Grey Tea,Tea
8843,Lemongrass Tea,Tea
8851,Blend Your Own,Shakes
8867,The Coffee Smoothie,Shakes
8871,Deep Fried Spicy Chicken with Thai Sauce,Bites
8872,Banana-Passion Fruit,Shakes
8878,Simply Mango,Shakes
8881,Habanero Salsa Jar (Kochchi) -,Condiments
8882,10 Wheat Flour Tortillas Pack (Frozen),Roti
8883,Taco's Salsa Jar,Condiments
8894,Tres Leches Vanilla Cake Slice,Cakes
8896,Traditional Mexican Churros (5),Desserts
8918,Pork  Kottu,Kottu
8944,Black Pork Curry & Yellow Rice,Curry
8949,Fish Chees Kottu,Kottu
8951,Special Mix Rice,Rice
8958,Special Mix Chopsuey Rice,Rice
8960,Special Mix Chopsuey Noodles,Noodles
8967,Special Seafood Rice,Rice
8968,Special Seafood Noodles,Noodles
8971,Special Seafood Chopsuey Rice,Rice
8974,Machan Wok Kottu - Chicken,Kottu
8977,Machan Wok Kottu - Mix,Kottu
8979,Machan Wok Kottu - Seafood,Kottu
9017,Prawns Noodles Kottu,Kottu
9018,Seafood Noodles Kottu,Kottu
9030,Pork Devilled,Stir Fry
9036,Beef Devilled 1kg,Stir Fry
9037,Sausage Devilled,Stir Fry
9038,Chicken Biriyani (Lunch For One Person),Biriyani
9040,Seafood Biriyani,Biriyani
9041,Mix Biriyani,Biriyani
9042,Chicken Nasi Gureng,Rice
9043,Egg Nasi Gureng,Rice
9044,Seafood Nasi Gureng,Rice
9045,Mix Nasi Gureng,Rice
9047,Seafood Chopsuey,Stir Fry
9050,Chicken And Egg Soup,Soup
9059,Pork Rice & Curry (2),Rice
9061,Fish & Pork Rice & Curry (2),Rice
9063,Egg with Cheese Mini Sub,Submarine
9066,Tandoori Chicken Submarine - Mini Sub,Submarine
9067,Chicken & Pork Rice & Curry (2),Rice
9069,Vegetable Fried Rice set,Rice
9070,Veg Rice & Curry,Rice
9071,Normal Spicy Chicken Submarine - Mini Sub,Submarine
9072,Omlette Rice & Curry,Rice
9073,Egg Fried Rice set,Rice
9074,Devilled Chicken Submarine - Mini Sub,Submarine
9078,Devilled Beef Submarine - Mini Sub,Submarine
9080,Fish Fried Rice set,Rice
9081,Crispy Chicken Submarine - Mini Sub,Submarine
9090,Vegetable Mix Submarine,Submarine
9094,Choc Chip Chocolate Fudge Brownie,Desserts
9095,Hot Dog Submarine Jumbo,Submarine
9101,Devilled Sausage Submarine,Submarine
9102,Nutella Chocolate Fudge Brownie,Desserts
9108,Oreo Chocolate Fudge Brownie,Desserts
9113,Yellow Rice Fish (with cutlet),Rice
9115,Kitkat Chocolate Fudge Brownie,Desserts
9120,Yellow Rice Pork (with cutlet),Rice
9122,Battered Mushrooms,Salad
9127,Yellow Rice Prawns (with cutlet),Rice
9131,Yellow Rice Egg (with cutlet),Rice
9133,French Fries - Medium,Fast Food
9136,Yellow Rice Chicken (with cutlet),Rice
9138,French Fries - Large,Fast Food
9139,Fish Fried Noodles,Noodles
9142,White Chocolate Fudge Brownie,Desserts
9145,Sea Food Fried Noodles,Noodles
9147,Brownie Bomb in Box,Desserts
9170,Egg Roast Paan Kottu,Kottu
9173,Chicken Rice & Curry,Curry
9174,Chicken Roast Pan Kottu,Kottu
9177,Nasi Gorang,Rice
9178,Fish Roast Pan Kottu,Kottu
9179,Crispy Chicken,Fast Food
9180,Seafood & Cheese Kottu,Kottu
9181,Kada Paan,Bread
9184,Beef Roast Pan Kottu,Kottu
9186,Fish & Cheese Kottu,Kottu
9187,White Sandwich Bread,Bread
9189,Pork Roast Paan Kottu,Kottu
9191,Egg & Cheese Kottu,Kottu
9192,Brown Sandwich Bread,Bread
9193,Beef Rice & Curry,Curry
9194,Dobos Piece,Desserts
9196,Vegetable & Cheese Kottu,Kottu
9206,Hot Dog Buns (Pack of 2),Bread
9209,Burger Buns (Pack of 2),Bread
9214,Tea Bun,Short eats
9219,Sausages Bun (2),Short eats
9221,Roast Paan Medium (Pack of 4),Bread
9226,Chopsuey Rice Chicken,Rice
9227,Roast Paan Small (Pack of 4),Bread
9233,Black Forest,Desserts
9238,Mayo Chicken Bun,Short eats
9240,Panini Bread (Pack of 2),Bread
9245,Pineapple Gateau,Desserts
9246,Special Seafood Fried Rice,Rice
9252,Panini Bread Small (Pack of 4),Bread
9262,Chocolate Donut (Pack of 4),Desserts
9263,(2) Cup Cake,Desserts
9270,Butter Bun (2),Short eats
9272,Low Gi Multi Seed Bread,Bread
9277,(2) Doughnuts,Desserts
9280,Special Fruit Faluda,Shakes
9290,Rose Faluda,Shakes
9301,Vanila Ice Cream,Ice Cream
9303,Nelli Faluda,Shakes
9307,Fried Rice - Chicken  (Basmathi),Rice
9308,Ribbon Cake 1Lb (Serves 10),Cakes
9311,Vegetable Rice & Curry,Curry
9317,Nannari Faluda,Shakes
9320,Kit Kat Ice Cream,Ice Cream
9321,Spicy Beef,Bites
9322,Fried Rice - Fish (Basmathi),Rice
9324,Ribbon Cake 2Lb (Serves 20),Cakes
9327,Deviled Chicken Rice & Curry,Rice
9329,Dinner Rolls (5 bun in Pack),Bread
9333,Fried Rice - Egg (Basmathi),Rice
9334,5 Hearth Oven Stoved Roast Bread,Bread
9336,Ribbon Cake 3Lb (Serves 30),Cakes
9342,Ribbon Cake (Pack of 4),Cakes
9347,Veg Fried Rice (Basmathi),Rice
9348,Thalapath Fish Rice & curry,Rice
9353,Almond Tart (Pack of 4),Desserts
9354,6 Plain Hot Dog Bun,Short eats
9357,Fish Pastry - 2 Nos,Short eats
9359,Chocolate Cake 1Lb (Serves 10),Cakes
9360,Deviled Fish Rice & Curry,Rice
9362,Maldives Fish Bun,Short eats
9363,5 Tea Bun,Short eats
9364,Chocolate Muffins (Pack of 4),Desserts
9372,Chocolate Cake 2Lb (Serves 20),Cakes
9373,Fried Rice (Set Menu),Rice
9376,Chocolate Cake 3Lb (Serves 30),Cakes
9378,Fish Bun,Short eats
9380,Oreo Milkshake,Shakes
9381,Pastry (2),Short eats
9384,5 Sponge Cake,Short eats
9387,5 Kimbula Bun,Short eats
9388,Chicken Chinese Roll,Short eats
9392,Vanilla Crunch Milkshake,Shakes
9395,Katu Anoda Juice,Fruit Juice
9403,1Kg Butter Cake,Cakes
9405,Fish Chinese Roll,Short eats
9406,Beef Mix Sandwich,Sandwiches
9407,Coffee Cake 1Lb (Serves 10),Cakes
9410,Coffee Ice Cream,Ice Cream
9416,1Kg Chocolate Cake,Cakes
9417,Coffee Cake 2Lb (Serves 20),Cakes
9418,Punjabi Samosa Pack of (4),Short eats
9421,Tuna Fish Sandwich (2),Submarine
9424,Chicken Puff - 2 Nos,Short eats
9429,Special Mix Fried Rice,Rice
9430,Egg Sandwich (2),Sandwiches
9432,Mango Ice Cream,Ice Cream
9433,Coffee Cake 3Lb (Serves 30),Cakes
9434,Chocolate Eclairs Pack of (4),Desserts
9435,Ulundu Vadai (2),Street Food
9440,Chicken Pattie Pack of (4),Short eats
9451,Normal Spicy Chicken Submarine Large Sub,Submarine
9453,Jam Bun (2),Short eats
9454,Tuna Pattie (4),Short eats
9457,Chocolate Fudge 1Kg (Serves 16),Cakes
9458,Seafood Mix Special Chop Suey Rice / Noodles,Rice
9464,Crispy Chicken Submarine - Large Sub,Submarine
9465,Butter Cake - 500g,Cakes
9466,100% Atta Flour Chapati (10 Per Pack),Roti
9467,Nut Crispy 1Kg (Serves 20),Cakes
9471,Tuna Submarine,Submarine
9474,Devilled Chicken Submarine - Large Sub,Submarine
9476,Hazel Nut Ice Cream,Ice Cream
9477,Avacado Juice,Fruit Juice
9478,Fruit Cake - 500g,Cakes
9479,Negombo Special Mix Fried Rice,Rice
9480,Brown Kade Paan with Wholemeal Flour,Bread
9482,Nut Crispy Piece 1,Cakes
9485,Chicken Puff,Short eats
9488,Tandoori Chicken Submarine - Large,Submarine
9489,Fish Chinese Roll - 2 Nos,Short eats
9490,Blueberry Ice Cream,Ice Cream
9492,Chocolate Finger Gateaux 1Kg (Serves 12),Cakes
9499,Chocolate Fudge Cake (4),Cakes
9500,Devilled Beef Submarine - Large Sub,Submarine
9503,Chocolate Finger Gateaux Piece 1,Cakes
9508,Deviled Beef Submarine,Submarine
9510,Green Orange Juice,Fruit Juice
9513,(4) Chicken Roti,Short eats
9515,Blueberry Cheese Cake Small (Serves 6),Cakes
9518,Normal Spicy Chicken Submarine - Medium Sub,Submarine
9523,Blueberry Cheese Cake Large (Serves 12),Cakes
9526,Crispy Chicken Submarine - Medium Sub,Submarine
9531,Pistachio Ice Cream,Ice Cream
9533,Blueberry Cheese Cake Piece 1,Cakes
9534,(4) Fish Rotti,Short eats
9537,Mixed Special Chop Suey Rice / Noodles,Rice
9538,Devilled Chicken Submarine - Medium Sub,Submarine
9539,Vanila Milkshake,Shakes
9542,Hazel Nut with Chocolate Milkshake,Shakes
9544,Baked Cheese Cake (Small) with Chocolate Topping (Serves 6),Cakes
9546,(4) Egg Rotti,Roti
9551,Tandoori Chicken Submarine - Medium Sub,Submarine
9554,Baked Cheese Cake Piece 1,Cakes
9556,(4) Vegetable  Rotti,Short eats
9558,Egg & Fish Chinese Roll - 2 Nos,Short eats
9562,Spicy Beef Submarine - Medium Sub,Submarine
9568,Kit Kat with Vanila Milkshake,Shakes
9569,Coffee Milkshake,Shakes
9574,Devilled Beef Submarine - Medium Sub,Submarine
9576,Fruit Tartlet,Desserts
9583,Fried Veggie Mix Mini Sub,Submarine
9586,Chocolate & Coffee Milkshake,Shakes
9587,Special Almond Milkshake,Shakes
9596,Sugar Doughnut,Desserts
9597,Milo Milkshake,Shakes
9598,Hot Dog Submarine Mini,Submarine
9601,Coffee Doughnut,Desserts
9603,Tuna Mini Sub,Submarine
9610,Chocolate Gateaux 1Lb (Serves 10),Cakes
9612,Devilled Meatbal Mini Sub,Submarine
9615,Nugget Mini Sub,Submarine
9616,Chocolate Gateaux 2Lb (Serves 20),Cakes
9617,Bombay Lassi,Shakes
9620,Mini Kieves Mini Sub,Submarine
9622,Gateaux Opera 1Lb (Serves 10),Cakes
9629,Normal Chicken Burger,Burger
9631,Royal Gateaux 1Lb (Serves 10),Cakes
9635,Pineapple Lassi,Shakes
9638,Royal Gateaux 2Lb (Serves 20),Cakes
9642,Cheese Burger,Burger
9645,Veg Chinese Roll - 2 Nos,Short eats
9646,Pineapple Gateaux 1Lb (Serves 10),Cakes
9648,Egg & Cheese Burger,Burger
9651,Ceaser Salad Classic,Salad
9652,Three Layer Sandwiches,Sandwiches
9653,Chicken Chinese Roll - 2 Nos,Short eats
9654,Pineapple Gateaux 2Lb (Serves 20),Cakes
9657,10 Pcs Nuggets Potion with Sauce & Mayo,Fast Food
9658,Ceaser Salad Classic - Grilled Chicken,Salad
9661,Fish Cutlet - 2 Nos,Short eats
9662,Praline Cake 1Lb (Serves 10),Cakes
9669,Fish Patties - 2 Nos,Short eats
9672,Praline Cake 2Lb (Serves 20),Cakes
9674,Super Rich,Coffee
9677,Clove Style Greek Salad,Salad
9683,Praline Cake 3Lb (Serves 30),Cakes
9684,Condensed Milk,Condiments
9687,Cobb Salad,Salad
9689,Smoked Beef Sandwich,Sandwiches
9692,Seeni Sambol Bun - 2 Nos,Short eats
9693,Rose Crush,Fruit Juice
9694,Chocolate Chip Cake 1Kg,Cakes
9697,Coconut Kochchi Sambol,Condiments
9701,Veg Rotty  - 2 Nos,Short eats
9702,Nannari Crush,Fruit Juice
9705,Chocolate Chip Cake 2Kg,Cakes
9708,Crispy Onion Rings,Fast Food
9709,Chicken Creamy Puff,Short eats
9710,Nelli Crush,Fruit Juice
9718,Chicken Cornish Pastry,Short eats
9719,Chocolate Meringue Large (Serves 16),Cakes
9726,Chicken Rotty,Short eats
9727,Spicy Chicken Burger,Burger
9728,Chocolate Mousse Small (Serves 8),Desserts
9732,Sausage Bun,Short eats
9733,Hummus,Condiments
9740,Chocolate Mousse 1Kg (Serves 12),Desserts
9744,Fish Hot Dog,Short eats
9746,Fudge & Nut 1Kg (Serves 12),Cakes
9752,Egg Bun,Short eats
9757,Peach Gateaux 1Kg (Serves 12),Cakes
9761,Sultana Bun - 3 Nos,Short eats
9767,Almond Crunch Piece 1,Desserts
9770,Chicken Bacon and Egg Pastry,Short eats
9773,Kurakkan Fish Bun - 2 Nos,Short eats
9774,Brownie Piece 1,Desserts
9778,Chicken Salad Sliced Bread Sandwich,Sandwiches
9780,Chicken Pasta (Mini),Pasta
9782,Egg Sandwich,Sandwiches
9783,Fish Rotty  - 2 Nos,Short eats
9788,Checkered Cake Piece 1,Cakes
9791,Special Pista Musket - 250g,Indian Sweets
9796,Panama Slice Piece 1,Cakes
9799,Lunch Sandwich - (Beef),Sandwiches
9801,Almond Cake 1lb (Serves 8),Cakes
9805,Almond Tartlet Each,Desserts
9806,Chillie Chicken,Stir Fry
9811,Caramel Tartlet Each,Desserts
9813,Chicken Mayonnaise Bun - 2 Nos,Short eats
9815,Chillie Pork,Stir Fry
9817,Chocolate Roll 450g (Serves 8),Desserts
9821,Hot & Spicy Chicken Sliced Bread Sandwich,Sandwiches
9832,Special Almond Musket,Indian Sweets
9841,Fish Roll,Short eats
9845,Chicken & Cheese Sandwich,Sandwiches
9846,Choc Doughnut - 2 Nos,Desserts
9847,Chicken Roll,Short eats
9848,Beef Fry,Stir Fry
9850,Roast Chicken Pasta,Pasta
9851,Vanilla Doughnut - 2 Nos,Desserts
9853,Vegetable Roll,Short eats
9854,Tandoori Chicken Sliced Bread Sandwich,Sandwiches
9859,Black Pepper Mutton,Curry
9861,Mutton Roll,Short eats
9862,Fruit Musket,Indian Sweets
9868,Apple cake  - 2 Nos,Cakes
9870,Beef Roll,Short eats
9878,Fish Pattie,Short eats
9882,Almond Tart - 2 Nos,Desserts
9885,Vegetable Pattie,Short eats
9888,Queen Cake - 2 Nos,Cakes
9890,Lime Mojito,Soft Drinks
9891,Fish Cutlet,Short eats
9893,Chocolate Square - 2 Nos,Desserts
9896,Fish & Egg Cutlet,Short eats
9898,Mango Mojito,Soft Drinks
9904,Sandwich Fish  - 2 Nos,Sandwiches
9905,Chicken & Egg Pastry,Short eats
9907,Chicken Cheese Pasta,Pasta
9908,Sandwich Cheese  - 2 Nos,Sandwiches
9909,Chicken Pie,Short eats
9916,BBQ Chicken Sliced Bread Sandwich,Bread
9918,Rich Musket,Indian Sweets
9928,Sausage Roll,Short eats
9934,Vegetable Pie,Short eats
9941,Chocolate Crunch Milkshake,Shakes
9942,Chicken Pastry,Short eats
9943,String Hopper Chicken Kottu,Kottu
9944,Teriyaki Chicken Sliced Bread Sandwich,Sandwiches
9951,Seeni Sambol Bun,Short eats
9952,Brownie Milkshake,Shakes
9955,Nut Musket,Indian Sweets
9957,Sea Food Fried Rice,Seafood
9960,Prawn Bun,Short eats
9961,Rice & Curry - Chicken (Keerisamba),Rice
9962,Cadbury Milkshake,Shakes
9965,Rice & Curry - (Keerisamba with Fish),Rice
9973,Rice & Curry (Keerisamba with Veg),Rice
9975,Smoked Chicken Sliced Bread Sandwich,Sandwiches
9985,Chicken Romania,Short eats
9988,Nutella Milkshake,Shakes
9992,Vegetable Samosa,Short eats
9996,Prawn Samosa,Short eats
9998,"Kids Penne, Chicken or Bacon",Pasta
9999,Tuna Salad Sliced Bread Sandwich,Sandwiches
10000,Butter Musket,Indian Sweets
10002,Garlic Bread 140g (Serves 3),Bread
10005,Singapore Rice,Rice
10007,Ice Coffee (Take - Away Cup),Coffee
10008,Garlic Bread - 2 Nos,Bread
10016,Orange Juice (Take - Away Cup),Fruit Juice
10018,Garlic Pasta,Pasta
10022,Battenburg (Piece),Cakes
10029,Cheese & Tomato Sliced Bread Sandwich,Sandwiches
10035,"Chicken Ham, Cheese & Egg Sandwich",Sandwiches
10036,Chicken Lasagne  (Serves 1),Pasta
10042,Sea food Pasta,Pasta
10043,Beef Lasagne (Serves 1),Pasta
10049,Fish Chinese Roll (5 Nos) - Frozen,Short eats
10050,Vegetable Lasagne (Serves 1),Pasta
10063,Parata (3) Packs,Roti
10070,Vegetable Chopsuey Noodles,Noodles
10071,Spring Rolls (6) - Frozen,Bites
10078,Special Mix Noodles,Noodles
10081,Iced Coffee 500ml,Coffee
10084,Sandwiches - Three Layer,Sandwiches
10093,Chef Special Charcoal Chicken Sandwich,Sandwiches
10096,Egg Spaghetti,Pasta
10103,Garlic Spaghetti,Pasta
10104,Red Rice Fish,Rice
10107,Chef Special Seer Chunk Twister,Wrap
10110,Red Rice Chicken,Rice
10111,Hot Cheese Melts Panini Bread,Bread
10120,Red Rice Vegetable,Rice
10121,Prawns Spaghetti,Pasta
10130,Red Rice Egg,Rice
10134,Chapati Wraps With 02 Wraps,Wrap
10136,White Rice Fish,Rice
10142,White Rice Chicken,Rice
10148,White Rice Egg,Rice
10154,Hot Garlic Chicken,Bites
10155,Tandoori Chicken Burger,Burger
10157,White Rice Vegetable,Rice
10162,Deep & Fried Chicken,Fast Food
10167,Ginger Passion Mojito,Soft Drinks
10182,Strawberry Colada,Soft Drinks
10183,Texas Chicken Burger,Burger
10184,Noodles - Vegetables,Noodles
10186,"Chicken, Mushroom & Vegetable Soup",Soup
10191,Parata (5),Roti
10196,Egg Rotty (2),Roti
10200,Soan Papadi Box,Indian Sweets
10202,Plane Rotty (5),Roti
10203,Chicken Kottu Portion,Kottu
10206,Chicken Kotthu,Kottu
10208,Traditional American Beef Burger ,Burger
10220,Spring Rolls (3 Pieces ),Short eats
10222,Chicken Samosa (3),Street Food
10225,Egg Rotty (2) with Curry,Roti
10230,Mix Kotthu,Kottu
10232,Parata (3) with Curry,Roti
10239,Plain Rotty (3) with Curry,Roti
10245,Pol Rotty (05),Roti
10246,Sea Food Kotthu,Kottu
10248,Ghee Mixture,Bites
10249,Special Mix Kottu,Kottu
10251,Potato Curry (1),Curry
10255,Dhal Curry (1),Curry
10259,Kankun with Garlic Sauce,Stir Fry
10265,Kochchi Koththu,Kottu
10270,Hot Mixture,Bites
10288,Egg Curry (1),Curry
10292,Indian Mixture,Bites
10294,Pol Sambol (1),Condiments
10303,Fresh Fruit Salad with Ice Cream,Desserts
10312,Maldives Fish Sambol,Condiments
10314,Baby Mixture,Bites
10317,Vegetable Rotty (2),Short eats
10323,Fish Rotty (2),Short eats
10328,Beef Rotty (2),Short eats
10329,Clove Virgin Mojitos,Soft Drinks
10337,Garlic Murukku,Bites
10351,Mint Cooler,Soft Drinks
10357,Vanilla Milk Shake,Shakes
10359,Karasave Murukku,Bites
10361,Chicken Samosa (3),Short eats
10366,Chocolate Milk Shake,Shakes
10368,Egg Patis (3),Short eats
10374,Faluda Milk Shake,Shakes
10378,Ring Murukku,Bites
10392,Roast Chicken Nasi Goreng,Rice
10393,Murukku,Bites
10395,Sweet or Salted Lassi,Shakes
10409,Tangy Mushroom Rice,Rice
10411,EGB,Soft Drinks
10412,Seeni Murukku,Bites
10414,Cream Soda,Soft Drinks
10417,Lemonade,Soft Drinks
10424,Orange Crush,Soft Drinks
10442,Roasted Chicken String Hopper Kottu,Kottu
10443,Pakkoda,Bites
10457,Special Mix String Hopper Kottu,Kottu
10474,Sea Food String Hopper Kottu,Kottu
10491,Roast Chicken Dolphin Kottu,Kottu
10498,Ghee Jilebi,Indian Sweets
10507,Red Boondhi,Indian Sweets
10512,Special Mix Dolphin Kottu,Kottu
10559,Chapatti Wrap - BBQ Chicken,Wrap
10562,Soy Iced Coffee,Coffee
10563,Chapatti Wrap - Cheese & Tomato,Wrap
10565,Chapatti Wrap - Chicken Salad,Wrap
10567,Chapatti Wrap - Smoked Beef,Wrap
10568,Chapatti Wrap - Spicy Chicken,Wrap
10570,Chapatti Wrap - Tandoori Chicken,Wrap
10573,Chapatti Wrap - Teriyaki Chicken,Wrap
10574,Chapatti Wrap - Tuna Salad,Wrap
10575,Chapatti Wrap - Veggie,Wrap
10576,Seeni Sambol Bun,Condiments
10577,Chicken Bun,Short eats
10580,Vegetable Biriyani,Rice
10581,Pizza Base 10.5 Inch 2,Pizza
10583,Mini Pizza Base (18),Pizza
10584,Iced Coffee 200ml,Coffee
10586,Faluda Milk 200ml,Salad
10588,Sea Food Devilled,Stir Fry
10590,Fresh Naarang Juice 370ml,Fruit Juice
10591,Dallmayr - Latte,Coffee
10592,Dallmayr - Cappuccino,Coffee
10593,Dallmayr - Caramel Cappuccino,Coffee
10595,Dallmayr - Mocaccino,Coffee
10600,Dallmayr - Single Shot Espresso,Coffee
10619,Beef Fried,Bites
10622,Chicken Fried,Bites
10624,Fish Fry,Curry
10626,Parata (4),Roti
10631,Cheese Egg Roti,Roti
10634,Bread (2),Bread
10639,Umbalakada Bun (2),Short eats
10640,Vegetable Roti (2),Short eats
10641,Egg Roll (2),Short eats
10665,Tea Bun (3),Short eats
10671,Coco Cola,Soft Drinks
10675,Mini Chicken Kottu,Kottu
10690,Devilled Beef Kottu,Kottu
10695,Necto,Soft Drinks
10697,Roast Chicken Masala Kottu,Kottu
10701,Soda,Soft Drinks
10702,Yellow Red Bull,Soft Drinks
10703,Blue Red Bull,Soft Drinks
10707,Roast Chicken Palandi Kottu,Kottu
10717,Mini Chicken Cheese Kottu,Kottu
10729,Plain Tea (2),Tea
10733,Chicken Roti (2),Short eats
10734,Vegetable Rotti (2),Short eats
10746,Roast Chicken Fry,Curry
10756,Devilled Beef Rice & Curry,Curry
10758,Murthaba Rotty,Roti
10759,Murthaba Chicken Cheese Rotty,Roti
10760,Egg Cheese Rotty,Roti
10762,Plain Cheese Rotty,Roti
10764,Chocolate Rotty,Roti
10765,Cheese Egg Rotty,Roti
10768,Egg Rotty (2) With Roast Chicken,Roti
10784,Mini Chicken Dolphin Kottu,Kottu
10788,Devilled Beef Dolphin Kottu,Kottu
10790,Chicken Masala Dolphin Kottu,Kottu
10791,Beef Masala Dolphin Kottu,Kottu
10803,Devilled Beef Portion,Stir Fry
10804,Quarter Devilled Chicken,Stir Fry
10808,Black Coffee (2),Coffee
10812,Vegetables Noodles Kottu,Kottu
10816,Mini Chicken Noodles Kottu,Kottu
10824,Roast Chicken Noodles Kottu,Kottu
10829,Devilled Beef String Hoppers Kottu,Kottu
10831,Mini Chicken String Hoppers Kottu,Kottu
10832,Roast Chicken Cheese String Hoppers Kottu,Kottu
10833,Beef Cheese String Hoppers Kottu,Kottu
10834,Mini Chicken Cheese String Hoppers Kottu,Kottu
10835,Vegetable Cheese String Hoppers Kottu,Kottu
10836,Chicken String Hopper Biriyani,Biriyani
10837,Beef String Hopper Biriyani,Biriyani
10838,Egg String Hopper Biriyani,Biriyani
10839,Fish String Hopper Biriyani,Biriyani
10853,Aloo Poori,Roti
10854,Aloo Samosa,Short eats
10855,Ulundu Wade,Street Food
10859,Onion Parata,Roti
10860,Apple & Salad Slew Salad,Salad
10861,Paneer Parata,Roti
10862,Plain Parata,Roti
10865,Mushroom & Egg Soup,Soup
10866,Creamy Chicken Pasta,Pasta
10867,Plain Dosa,Dosa
10870,Masala Dosa,Dosa
10872,Nutella,Condiments
10873,Rava Onion Dosa,Dosa
10874,Passion Slush,Fruit Juice
10875,Cream of Seafood Soup,Soup
10876,Rava Paneer Dosa,Dosa
10877,Tres Leches,Cakes
10878,Rava Masala Dosa,Dosa
10879,Prawns & Mushroom Soup,Soup
10880,Chocolate Cup Cake x 2,Cakes
10882,Mysore Dosa,Dosa
10883,Chocolate Biscuit Pudding pod,Desserts
10884,Cream of Prawns Soup,Soup
10885,Vanilla Cheese Cake,Cakes
10886,Mysore Masala Dosa,Dosa
10888,Oreo Cheese Cake,Cakes
10891,Paper Dosa,Dosa
10892,Strawberry Cheese Cake,Cakes
10894,Paper Masala Dosa,Dosa
10895,Ghee Dosa,Dosa
10897,Ghee Paper Dosa,Dosa
10900,Ghee Paper Masala Dosa,Dosa
10903,Paneer Uttapam Dosa,Dosa
10904,Lime & Soda Juice,Soft Drinks
10905,Chocolate Dosa with Vanila Scoop,Dosa
10906,JB Special Club Sandwich,Sandwiches
10908,Beef Sandwich & Chips,Sandwiches
10909,Mushroom Kottu,Kottu
10910,Chicken Sandwich & Chips,Sandwiches
10911,Paneer Kottu,Kottu
10912,Vegetable Sandwich & Chips,Sandwiches
10913,Royal Kottu,Kottu
10917,Bread & Butter Portions,Bread
10918,Naan,Roti
10919,Egg Sandwich 6 Pieces & Chips,Sandwiches
10921,Potato Chips,Fast Food
10925,Chicken Mongolian Rice,Rice
10929,Tawa Paratha,Roti
10935,The Famous Nasi,Rice
10936,Dhal Fry,Bites
10939,Mushroom Matar,Curry
10940,Plain Rice Portion,Rice
10941,Mushroom Do Pyaaza,Stir Fry
10943,Chilli Paneer,Curry
10945,Paneer 65,Stir Fry
10948,Milo Shake,Shakes
10950,Chcoclate Biscuit Pudding,Desserts
10954,Nutella Brownie piece,Desserts
10956,Classic Brownie Pod,Desserts
10957,Paneer Fried Rice,Rice
10961,Butter Cake (Medium),Cakes
10963,Pani Puri (6),Short eats
10965,Malai Paneer - 200g,Curry
10967,Rice,Rice
10968,Chicken Run Burger,Burger
10971,Mango Lassi - 300ml,Shakes
10973,Chocolate Shake - 300ml,Shakes
10974,Cuttlefish Chopsuey,Stir Fry
10975,Mango Shake - 300ml,Shakes
10976,Faluda Shake - 300ml,Shakes
10977,Creamy Prawn Pasta,Pasta
10979,Cinnamon Rolls (Pack of 2),Desserts
10980,02 Nos Muscat Pcs,Desserts
10983,Mawa Peda - 250g,Indian Sweets
10984,Vegetable Pakora with French Fries,Bites
10987,Cucumber Plate,Salad
10988,Cheesecake,Cakes
10989,Nutella Cheese Cake,Cakes
10990,Passion Cheese Cake,Cakes
10993,Chocolate Chip Cookies (4),Desserts
10996,Fruit Trifle,Desserts
11000,Red Velvet Cupcakes -x2,Cakes
11002,Kesar Pistachio Kulfi,Ice Cream
11003,Fruit Platter,Desserts
11004,Mr. Mango 80ml,Fruit Juice
11006,Choco Fantasy,Desserts
11008,Passion Iced Tea,Tea
11010,Strawberry Iced Tea,Tea
11011,Strawberry Ripple - 80ml,Ice Cream
11013,Chocolate Ripple - 80ml,Ice Cream
11016,Strawberry Ripple,Ice Cream
11018,Vanilla Cup Cake,Cakes
11019,Nutella Cup Cake x 2,Cakes
11021,Chocolate Ripple,Ice Cream
11022,Strawberry Cup Cake,Cakes
11024,Brownies & Cream,Desserts
11025,Malai Mawa Kulfi,Ice Cream
11026,Mango Kulfi Ripple,Ice Cream
11028,Butterscotch,Desserts
11029,Double Chocolate Mousse,Desserts
11033,Red Velvet,Cakes
11034,Chicken Sweet & Sour with Rice,Rice
11035,Malai Mawa Kulfi - 500ml,Ice Cream
11036,Victoria Sponge,Cakes
11037,Mango Maaza Matka,Ice Cream
11038,Fish Sweet & Sour with Rice,Stir Fry
11039,Strawberry Matka,Ice Cream
11041,Coffee Pearly Almond Matka,Ice Cream
11043,Choco Chips Almond Matka,Ice Cream
11044,Paneer & Mushroom Biriyani,Biriyani
11047,Paneer Dosa Pizza,Dosa
11048,Chia Puddings - 300ml,Desserts
11049,Natural Vanilla with Chocochip & Cookies 80ml (2),Desserts
11050,Almond Milk Shake - 200ml,Shakes
11051,Royal Kesar Almond Pistachio Kulfi 500ml,Ice Cream
11061,Passion Curd Jar,Desserts
11062,Plain Caramel Jar,Desserts
11063,Chocolate Cake,Cakes
11064,Choc Mousse Cake,Desserts
11066,02 Nos Plain Muffins,Desserts
11067,Seeni Sambol Bun (3),Short eats
11068,02 Nos Tea Buns,Short eats
